Timestamp,Age,Gender,Income,Education,Used Freelance,Ease of aquiring freelance,Trust in freelance,Frequency of custom products,Wanted product that doesn�t exist,Benefit from customization,App interest,Matching preference,Making/buying preference,Factors
3/11/19 17:43,18-25,Female,"$20,000-34,999",High School or equivalent (GED),Yes,Somewhat difficult,Not trustworthy at all,Never,I'm not sure,"Art, Clothing, Furniture",3,Be matched,Buy it and let someone else make it,"Portfolio/sample work, Price"
3/11/19 18:07,18-25,Female,$150k+,"Some college, no degree",No,"N/A, I haven't hired freelance workers before","N/A, I haven't hired freelance workers before",1-2 times per month,Yes,"Art, Home decor, Résumés/Templates, Furniture, Jewelry",4,Find them myself,Buy it and let someone else make it,"Experience, Turnaround/shipping times, Reputation, Trustworthiness, Portfolio/sample work, Price"
3/11/19 20:04,18-25,Female,"< $20,000","Some college, no degree",No,"N/A, I haven't hired freelance workers before",Somewhat trustworthy,Never,Yes,"Art, Jewelry",1,Find them myself,Learn to make it myself,"Experience, Trustworthiness"
3/11/19 20:26,18-25,Female,"$50,000-74,999",High School or equivalent (GED),Yes,Neutral,Somewhat trustworthy,1-2 times per month,Yes,"Art, Home decor, Jewelry",3,Be matched,Learn to make it myself,"Experience, Turnaround/shipping times, Reputation, Trustworthiness, Portfolio/sample work, Price"
3/11/19 21:20,50-60,Female,"$35,000-49,999","Some college, no degree",Yes,Somewhat easy,Very trustworthy,1-2 times per month,Yes,Furniture,4,Find them myself,Learn to make it myself,"Portfolio/sample work, Price"
3/11/19 22:15,18-25,Female,"< $20,000","Some college, no degree",No,"N/A, I haven't hired freelance workers before","N/A, I haven't hired freelance workers before",1-2 times per month,I'm not sure,"Clothing, Résumés/Templates, Jewelry",3,No preference,No preference,"Experience, Turnaround/shipping times, Reputation, Trustworthiness, Portfolio/sample work, Price"
3/11/19 23:19,40-50,Female,"$100,000-149,000",Bachelor's Degree,Yes,Somewhat easy,Somewhat trustworthy,1-2 times per month,Yes,Patio Door,4,Be matched,Buy it and let someone else make it,Trustworthiness
3/12/19 0:36,40-50,Female,$150k+,Bachelor's Degree,No,"N/A, I haven't hired freelance workers before","N/A, I haven't hired freelance workers before",Never,Yes,"Clothing, Résumés/Templates, Jewelry",4,Be matched,Buy it and let someone else make it,"Turnaround/shipping times, Reputation, Trustworthiness"
3/12/19 7:13,<18,Female,"< $20,000","Some college, no degree",No,"N/A, I haven't hired freelance workers before","N/A, I haven't hired freelance workers before",1-2 times per month,I'm not sure,"Art, Home decor, Clothing, Furniture, Jewelry",5,Be matched,Buy it and let someone else make it,"Experience, Reputation, Portfolio/sample work, Price"
3/12/19 7:20,40-50,Female,$150k+,"Some college, no degree",Yes,Somewhat easy,Somewhat trustworthy,1-2 times per month,Yes,Pet supplies,4,Be matched,Buy it and let someone else make it,"Experience, Reputation, Price"
3/12/19 9:24,18-25,Female,Prefer not to say,"Some college, no degree",Yes,Somewhat easy,Somewhat trustworthy,1-2 times per month,Yes,"Art, Home decor, Résumés/Templates, Furniture, Jewelry",4,Be matched,Buy it and let someone else make it,"Experience, Turnaround/shipping times, Reputation, Trustworthiness, Portfolio/sample work, Price"
3/12/19 15:43,50-60,Female,"$50,000-74,999",Master's Degree,Yes,Somewhat difficult,Somewhat trustworthy,Never,Yes,"Art, Home decor, Clothing, Résumés/Templates, Furniture, Pet supplies, Jewelry",3,Be matched,Learn to make it myself,"Experience, Turnaround/shipping times, Trustworthiness, Portfolio/sample work, Price"
3/12/19 16:24,18-25,Male,"< $20,000","Some college, no degree",Yes,Neutral,Somewhat trustworthy,1-2 times per month,I'm not sure,"Home decor, Clothing, Jewelry",4,Find them myself,Buy it and let someone else make it,"Experience, Turnaround/shipping times, Reputation, Trustworthiness, Price"
3/12/19 16:24,18-25,Male,"$20,000-34,999","Some college, no degree",No,"N/A, I haven't hired freelance workers before","N/A, I haven't hired freelance workers before",1-2 times per month,Yes,"Art, Home decor, Furniture",5,Be matched,Buy it and let someone else make it,"Experience, Turnaround/shipping times, Reputation, Trustworthiness, Portfolio/sample work, Price"
3/12/19 16:24,18-25,Male,"< $20,000","Some college, no degree",No,"N/A, I haven't hired freelance workers before",Somewhat trustworthy,Never,I'm not sure,"Furniture, Jewelry",2,Find them myself,Buy it and let someone else make it,"Experience, Reputation, Portfolio/sample work, Price"
3/12/19 16:25,18-25,Male,"< $20,000","Some college, no degree",No,"N/A, I haven't hired freelance workers before",Somewhat trustworthy,1-2 times per month,Yes,"Clothing, Furniture, Jewelry",4,Be matched,Buy it and let someone else make it,"Experience, Reputation, Trustworthiness, Price"
3/12/19 16:26,18-25,Male,$150k+,"Some college, no degree",No,"N/A, I haven't hired freelance workers before","N/A, I haven't hired freelance workers before",1-2 times per month,Yes,Guns,5,Find them myself,Learn to make it myself,"Experience, Turnaround/shipping times, Reputation, Trustworthiness, Portfolio/sample work, Price"
3/12/19 16:26,18-25,Male,$150k+,"Some college, no degree",No,"N/A, I haven't hired freelance workers before","N/A, I haven't hired freelance workers before",3-4 times per month,Yes,"Art, Clothing",2,Find them myself,Learn to make it myself,"Experience, Reputation, Trustworthiness, Portfolio/sample work"
3/12/19 16:26,40-50,Female,$150k+,Bachelor's Degree,No,"N/A, I haven't hired freelance workers before","N/A, I haven't hired freelance workers before",Never,I'm not sure,"Home decor, Résumés/Templates, Jewelry",4,Be matched,Buy it and let someone else make it,"Experience, Trustworthiness, Portfolio/sample work"
3/12/19 16:27,18-25,Male,"< $20,000","Some college, no degree",No,"N/A, I haven't hired freelance workers before","N/A, I haven't hired freelance workers before",1-2 times per month,Yes,"Art, Home decor, Clothing, Furniture",3,Find them myself,No preference,"Turnaround/shipping times, Reputation, Portfolio/sample work, Price"
3/12/19 16:27,18-25,Male,$150k+,Bachelor's Degree,No,"N/A, I haven't hired freelance workers before",Somewhat trustworthy,1-2 times per month,Yes,"Clothing, Résumés/Templates, Jewelry",3,Be matched,Buy it and let someone else make it,"Experience, Turnaround/shipping times, Reputation, Trustworthiness, Portfolio/sample work, Price"
3/12/19 16:27,18-25,Male,"$75,000-99,999",High School or equivalent (GED),No,"N/A, I haven't hired freelance workers before","N/A, I haven't hired freelance workers before",1-2 times per month,I'm not sure,"Art, Home decor, Clothing, Jewelry, Automobile",4,Find them myself,Buy it and let someone else make it,"Experience, Reputation, Trustworthiness, Portfolio/sample work, Price"
3/12/19 16:30,18-25,Male,"$100,000-149,000","Some college, no degree",No,"N/A, I haven't hired freelance workers before","N/A, I haven't hired freelance workers before",Never,No,"Home decor, Furniture",3,Find them myself,Buy it and let someone else make it,"Experience, Reputation, Trustworthiness, Portfolio/sample work"
3/12/19 16:30,18-25,Male,Prefer not to say,"Some college, no degree",Yes,Easy,Somewhat trustworthy,Never,Yes,Furniture,1,No preference,No preference,Experience
3/12/19 16:31,18-25,Male,"< $20,000","Some college, no degree",No,"N/A, I haven't hired freelance workers before",Somewhat trustworthy,Never,No,Clothing,2,Find them myself,Learn to make it myself,"Experience, Turnaround/shipping times, Reputation, Trustworthiness, Portfolio/sample work, Price"
3/12/19 16:35,18-25,Male,"$35,000-49,999",Bachelor's Degree,No,"N/A, I haven't hired freelance workers before","N/A, I haven't hired freelance workers before",1-2 times per month,Yes,"Clothing, Résumés/Templates, Pet supplies",4,No preference,Learn to make it myself,"Experience, Reputation, Trustworthiness, Portfolio/sample work"
3/12/19 16:45,18-25,Male,Prefer not to say,"Some college, no degree",No,"N/A, I haven't hired freelance workers before","N/A, I haven't hired freelance workers before",3-4 times per month,I'm not sure,"Art, Home decor, Clothing, Résumés/Templates, Furniture, Pet supplies, Jewelry",2,No preference,Buy it and let someone else make it,"Turnaround/shipping times, Reputation, Trustworthiness, Portfolio/sample work, Price"
3/12/19 16:49,18-25,Male,$150k+,"Some college, no degree",I don't know what that is,"N/A, I haven't hired freelance workers before","N/A, I haven't hired freelance workers before",Never,Yes,"Art, Home decor, Clothing, Résumés/Templates, Furniture, Pet supplies, Jewelry",4,Be matched,Learn to make it myself,"Experience, Reputation, Trustworthiness, Portfolio/sample work"
3/12/19 16:51,18-25,Male,"< $20,000","Some college, no degree",Yes,Very Easy,Somewhat trustworthy,1-2 times per month,Yes,Résumés/Templates,2,Be matched,Buy it and let someone else make it,"Experience, Turnaround/shipping times, Reputation, Trustworthiness, Portfolio/sample work, Price"
3/12/19 16:51,50-60,Male,$150k+,Master's Degree,Yes,Somewhat easy,Somewhat trustworthy,Never,I'm not sure,"Clothing, Résumés/Templates, Pet supplies",3,Be matched,Buy it and let someone else make it,"Experience, Reputation, Trustworthiness"
3/12/19 17:23,18-25,Male,"$100,000-149,000","Some college, no degree",No,"N/A, I haven't hired freelance workers before","N/A, I haven't hired freelance workers before",1-2 times per month,Yes,"Home decor, Furniture, Pet supplies",4,Find them myself,Buy it and let someone else make it,"Experience, Reputation, Portfolio/sample work, Price"
3/12/19 17:31,18-25,Male,$150k+,"Some college, no degree",No,"N/A, I haven't hired freelance workers before","N/A, I haven't hired freelance workers before",Never,I'm not sure,Résumés/Templates,4,Be matched,Buy it and let someone else make it,"Experience, Turnaround/shipping times, Reputation, Trustworthiness, Portfolio/sample work, Price"
3/12/19 18:01,18-25,Female,"< $20,000",Bachelor's Degree,No,"N/A, I haven't hired freelance workers before","N/A, I haven't hired freelance workers before",Never,Yes,"Home decor, Clothing, Résumés/Templates, Furniture",3,Be matched,Learn to make it myself,"Experience, Reputation, Portfolio/sample work, Price"
3/12/19 18:05,18-25,Female,"$100,000-149,000","Some college, no degree",No,"N/A, I haven't hired freelance workers before","N/A, I haven't hired freelance workers before",1-2 times per month,I'm not sure,"Art, Clothing, Résumés/Templates, Jewelry",4,No preference,Buy it and let someone else make it,"Turnaround/shipping times, Reputation, Trustworthiness"
3/12/19 21:40,18-25,Male,"< $20,000","Some college, no degree",No,"N/A, I haven't hired freelance workers before","N/A, I haven't hired freelance workers before",Never,Yes,"Home decor, Clothing",3,No preference,Buy it and let someone else make it,"Experience, Reputation, Portfolio/sample work, Price"
3/14/19 1:27,18-25,Male,$150k+,"Some college, no degree",No,"N/A, I haven't hired freelance workers before","N/A, I haven't hired freelance workers before",Never,Yes,Clothing,4,Be matched,Buy it and let someone else make it,"Experience, Trustworthiness, Portfolio/sample work"
